Log started on 2021_03_09_103942
rodRBStateFileLogger.,
Simulation time (sec),CoM_X,CoM_Y,Theta,dCoM_X_dt,dCoM_Y_dt,dTheta_dt
0,-7.80626e-18,0.0202255,-7.4025e-08,0,0,0
0.005,-7.80626e-18,0.0201642,-7.11478e-08,-3.10112e-16,-0.024525,6.7867
0.01,-8.67362e-18,0.0199802,1.26369e-07,2.50321e-17,-0.04905,13.5734
0.015,-8.09538e-18,0.0196737,1.52962e-07,3.53047e-16,-0.073575,20.3601
0.02,-1.08902e-17,0.0192445,1.76678e-07,-1.37904e-16,-0.0981,27.1468
0.025,-1.06011e-17,0.0186927,6.13243e-08,4.18871e-16,-0.122625,33.9335
0.03,-2.31296e-18,0.0180182,9.82346e-09,2.09873e-15,-0.14715,40.7202
0.035,3.43267e-10,0.017225,-4.82375e-05,6.86534e-07,-0.150366,45.1534
0.04,1.21921e-07,0.0171644,-0.00171146,3.02602e-05,0.00704125,-2.00433
0.045,2.29145e-07,0.0171908,-0.00157551,1.33982e-05,0.00376174,-1.05323
0.05,2.62336e-07,0.0172046,-0.00146619,6.05615e-07,0.00197241,-0.503094
0.055,2.43525e-07,0.0172119,-0.0013422,-7.33705e-06,0.0010354,-0.197135
0.06,1.9689e-07,0.0172157,-0.00119732,-1.06449e-05,0.000543957,-0.0422699
0.065,1.4314e-07,0.0172177,-0.00105418,-1.03956e-05,0.000285927,0.0215549
0.07,9.65892e-08,0.0172188,-0.00093629,-7.99285e-06,0.000150355,0.0343996
0.075,6.46041e-08,0.0172194,-0.000857124,-4.76018e-06,7.90882e-05,0.0230334
0.08,4.86735e-08,0.0172197,-0.000818553,-1.699e-06,4.16115e-05,0.00448819
0.085,4.62977e-08,0.0172198,-0.000813727,5.99926e-07,2.18975e-05,-0.0116264
0.09,5.30065e-08,0.0172199,-0.000831339,1.9276e-06,1.15244e-05,-0.021176
0.095,6.40417e-08,0.0172199,-0.000859518,2.3591e-06,6.06494e-06,-0.0236956
0.1,7.5476e-08,0.01722,-0.000888498,2.13236e-06,3.19089e-06,-0.0207835
0.105,8.47413e-08,0.01722,-0.000911922,1.5375e-06,1.67758e-06,-0.0148141
0.11,9.06737e-08,0.01722,-0.000926915,8.35974e-07,8.80579e-07,-0.00804919
0.115,9.32438e-08,0.01722,-0.000933438,2.15645e-07,4.60719e-07,-0.00214686
0.12,9.31449e-08,0.01722,-0.000933247,-2.21952e-07,2.39452e-07,0.00199595
0.125,9.1381e-08,0.01722,-0.00092887,-4.51369e-07,1.22769e-07,0.00416832
0.13,8.89389e-08,0.01722,-0.000922783,-5.00633e-07,6.11735e-08,0.00464548
0.135,8.65862e-08,0.01722,-0.000916915,-4.25624e-07,2.86015e-08,0.00395577
0.14,8.47886e-08,0.01722,-0.000912434,-2.87984e-07,1.13299e-08,0.00267774
0.145,8.37231e-08,0.01722,-0.000909784,-1.39933e-07,2.13206e-09,0.00130029
